MEGS AND SAM CONSUMER GOODS TRADING,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,,,,Total Number of Invested on Products,,,,," ₱123,187.50 ",
Address,,,,Total Number of Sales,,,,,0,
"City, State, ZIP",,,,Total Number of Sold Products,,,,,0,
Phone,,,,Total Estimated of Stocks (Unsold),,,,, ₱-   ,"3,423.00"
,,,,Total Estimated Value,,,,, ₱-   ,"₱262,365.00"
,,Purchase Information,,,,,,,,
Location,Description,Date,Capital Price, Price per. Product ,Number of Sales, Total  ,Stocks,Sold,Total number  of Unsold Products,Total Estimated Value
,1 Box Chalks 100 Sticks,,₱25.00, ₱45.00 ,, ₱-   ,1,,1,₱45.00
,1 Galloon Milkbath,,₱285.00, ₱480.00 ,, ₱-   ,1,,1,₱480.00
,1 500 grms Premium Body Lotion,,, ₱145.00 ,, ₱-   ,1,,1,₱145.00
,1 LITER Riche Light Essential Oil,,, ₱280.00 ,, ₱-   ,2,,2,₱560.00
,1/2 lengthwise,,, ₱15.00 ,, ₱-   ,20,,20,₱300.00
,1 whole  Paper,,, ₱25.00 ,, ₱-   ,10,,10,₱250.00
,1/2 Gallon  Kerabond Brazilian Botox (Black)MILD,,, ₱480.00 ,, ₱-   ,1,,1,₱480.00
,500mL Kerabond Brazilian Botox (Yellow)MILD,,, ₱190.00 ,, ₱-   ,1,,1,₱190.00
,Ranked REFIL ,,, ₱120.00 ,, ₱-   ,1,,1,₱120.00
,KINGTEX FOIL Curtain ,,, ₱35.00 ,, ₱-   ,4,,4,₱140.00
,KINGTEX  LETTER FOIL Curtain ,,, ₱65.00 ,, ₱-   ,6,,6,₱390.00
,70% Solution Alcohol  250ML,,, ₱75.00 ,, ₱-   ,1,,1,₱75.00
,70% Solution Alcohol  500ML,,, ₱130.00 ,, ₱-   ,2,,2,₱260.00
,16 PCS  Crayons BOX,,, ₱95.00 ,, ₱-   ,5,,5,₱475.00
,24 PCS  Crayons BOX,,, ₱120.00 ,, ₱-   ,3,,3,₱360.00
,888 500mL Lotion,,, ₱299.00 ,, ₱-   ,1,,1,₱299.00
,8 METERS pcs Correction Tape ,,, ₱35.00 ,, ₱-   ,17,,17,₱595.00
,A Bonne Collagen  LOTION 500mL,,₱220.00, ₱299.00 ,, ₱-   ,2,,2,₱598.00
,A Bonne Hokkaido LOTION 500mL,,, ₱299.00 ,, ₱-   ,4,,4,"₱1,196.00"
,A bonne Salt Sachet,,, ₱45.00 ,, ₱-   ,0,,0,₱0.00
,A bonne Spa Milk Salt 300g,,, ₱145.00 ,, ₱-   ,2,,2,₱290.00
,A bonne Spa Yogurt Salt 350g,,, ₱145.00 ,, ₱-   ,0,,0,₱0.00
,Aamarah BP Skin Soft STARTER KIT,,, ₱180.00 ,, ₱-   ,4,,4,₱720.00
